,36x8y5r330s1_5.png,36x8y5r120s1_25.png,36x8y5r0s1_0.png,36x8y5r60s1_5.png,36x8y5r30s2.png,36x8y5r270s0_5.png,36x8y5r240s1_5.png,36x8y5r300s0_75.png,Mean,StDev,StDev/Mean
0_0_0,0.9999999999999996,0.9999999999999999,1.0000000000000002,0.9999999999999997,0.9999999999999996,1.0,0.9999999999999997,1.0000000000000002,0.9999999999999999,2.633125101432526e-16,2.6331251014325263e-16
1_1_1,0.015426274039750202,0.014925383091349453,0.016060152328244138,0.014974255158016491,0.015255155788168679,0.015760895849150764,0.014974329536618558,0.01584011757163627,0.01540207042036682,0.0004136879090681192,0.026859240204556
2_0_0,2.964609489142188,2.965387850806947,2.9636637325127464,2.965284286605116,2.9649029882460542,2.9640731740077557,2.9652872213063124,2.9640231932839556,2.964653991988884,0.0006241643853406282,0.00021053532284956393
2_0_2,8.788909423111905,8.793525105713446,8.783302719411383,8.792910900387213,8.790649729710383,8.785729780872412,8.792928304842519,8.785433490325214,8.789173681796811,0.0037007621235052523,0.00042105916409068944
2_2_2,0.00015782402465352118,0.0001472964174854227,0.00016941334431613573,0.00014894152168699448,0.00015354024513275676,0.00016470684345473174,0.0001498942907964399,0.00016487226747101855,0.00015706111937462762,7.887235523721793e-06,0.05021761945366559
3_1_1,0.060957589733947465,0.05899296988647591,0.06344796648343116,0.05918247816617155,0.060288752491568544,0.06227032773069184,0.0591814742195019,0.06258596796182338,0.06086344083420147,0.0016247554713508796,0.026695097238700116
3_1_3,0.24087655493461121,0.23317126768047342,0.25066041520682947,0.23390583938422257,0.23826263903568748,0.24602622546336442,0.23389674190277474,0.24728373182862434,0.24051042692957345,0.006380979741023721,0.026530990038499274
3_3_3,1.5301526467800188e-06,1.3808035124146368e-06,1.6763759857054603e-06,1.4084510852837948e-06,1.4634101336761543e-06,1.6239028390104387e-06,1.4315071438336887e-06,1.6166527849966837e-06,1.5164070164626094e-06,1.0454845215970818e-07,0.06894484859585591
4_0_0,4.82466010702195,4.828480201040716,4.820005353073293,4.827978103165112,4.8260944315416685,4.822024147516759,4.827996154029438,4.821766586933745,4.8248756355403355,0.003070109285122724,0.000636308480680436
4_0_2,14.303233135163042,14.31831652602803,14.284875055420612,14.316327605389082,14.30890180163554,14.292832420072042,14.31639530005952,14.291827996273236,14.304088730005137,0.012112829014540446,0.0008468088560672746
4_2_2,0.000778364150271369,0.0007266407093308513,0.0008353673103536421,0.0007346875909826702,0.0007573565055263317,0.0008121971770675806,0.0007393602349365038,0.0008130817062464677,0.0007746319230894271,3.878383880521466e-05,0.05006744190264578
4_0_4,23.277345148289065,23.3142210518422,23.232451603655196,23.309372564641798,23.29118746215752,23.251916879234724,23.309546863323046,23.249433018870693,23.279434324001784,0.0296233537722905,0.0012725117526480422
4_2_4,0.0038387739240443542,0.0035846541923471907,0.004119147438027482,0.0036240119627504214,0.0037357558988336224,0.004005081031243549,0.0036469271384574013,0.004009782064463184,0.0038205167062709006,0.0001907098509667631,0.04991729277187473
4_4_4,1.4113778544391265e-08,1.2506096991767314e-08,1.5915971138979944e-08,1.2738708346729905e-08,1.344774187918258e-08,1.514435969145061e-08,1.28982838869738e-08,1.5234479758920087e-08,1.3999927529799438e-08,1.2175159422713226e-09,0.08696587462183561
