,,,NORMAL,LEGENDRE1,LEGENDRE2
CUPS_TRANSFORMED,CLEAN,,80.0,67.27272727272727,67.27272727272727
,GAUSS,1,80.0,67.27272727272727,67.27272727272727
,,2,80.0,67.27272727272727,67.27272727272727
,,3,80.0,69.0909090909091,67.27272727272727
,,5,80.0,70.9090909090909,69.0909090909091
,,7,80.0,70.9090909090909,67.27272727272727
,,9,83.63636363636363,69.0909090909091,67.27272727272727
,,40,76.36363636363637,74.54545454545455,67.27272727272727
,,50,74.54545454545455,67.27272727272727,63.63636363636363
,,60,81.81818181818183,65.45454545454545,60.0
,GAUSS_NO_ROUND,1,80.0,67.27272727272727,67.27272727272727
,,2,80.0,67.27272727272727,67.27272727272727
,,3,80.0,67.27272727272727,67.27272727272727
,,5,80.0,69.0909090909091,67.27272727272727
,,7,80.0,69.0909090909091,65.45454545454545
,,9,81.81818181818183,70.9090909090909,63.63636363636363
,,40,74.54545454545455,65.45454545454545,65.45454545454545
,,50,76.36363636363637,69.0909090909091,56.36363636363636
,,60,74.54545454545455,67.27272727272727,60.0
,SALT,0.2,80.0,65.45454545454545,67.27272727272727
,,0.4,80.0,67.27272727272727,67.27272727272727
,,0.6,80.0,69.0909090909091,67.27272727272727
,,1,80.0,72.72727272727273,69.0909090909091
,,2,80.0,63.63636363636363,67.27272727272727
,,3,80.0,63.63636363636363,69.0909090909091
,,5,85.45454545454545,72.72727272727273,69.0909090909091
,,10,80.0,65.45454545454545,65.45454545454545
,,15,80.0,70.9090909090909,69.0909090909091
COIL_TRANSFORMED,CLEAN,,100.0,96.61016949152543,100.0
,GAUSS,1,100.0,96.61016949152543,100.0
,,2,100.0,96.61016949152543,100.0
,,3,100.0,96.61016949152543,100.0
,,5,100.0,84.7457627118644,100.0
,,7,100.0,96.61016949152543,100.0
,,9,100.0,96.61016949152543,100.0
,,40,88.13559322033898,86.4406779661017,86.4406779661017
,,50,96.61016949152543,96.61016949152543,94.91525423728814
,,60,96.61016949152543,91.52542372881356,94.91525423728814
,GAUSS_NO_ROUND,1,100.0,96.61016949152543,100.0
,,2,100.0,96.61016949152543,100.0
,,3,100.0,96.61016949152543,100.0
,,5,100.0,84.7457627118644,100.0
,,7,100.0,96.61016949152543,100.0
,,9,100.0,96.61016949152543,100.0
,,40,98.30508474576271,86.4406779661017,93.22033898305084
,,50,98.30508474576271,91.52542372881356,93.22033898305084
,,60,94.91525423728814,93.22033898305084,94.91525423728814
,SALT,0.2,100.0,96.61016949152543,100.0
,,0.4,100.0,96.61016949152543,100.0
,,0.6,100.0,96.61016949152543,100.0
,,1,100.0,96.61016949152543,100.0
,,2,100.0,96.61016949152543,100.0
,,3,100.0,98.30508474576271,100.0
,,5,100.0,100.0,100.0
,,10,100.0,100.0,100.0
,,15,100.0,100.0,100.0
COIL_ROTATED,CLEAN,,100.0,100.0,100.0
,GAUSS,40,100.0,100.0,100.0
,,50,100.0,100.0,100.0
,,60,98.0392156862745,100.0,100.0
,,70,96.07843137254902,98.0392156862745,100.0
,,80,100.0,100.0,100.0
,,90,100.0,100.0,96.07843137254902
,,100,100.0,94.11764705882352,92.15686274509804
,,110,98.0392156862745,92.15686274509804,98.0392156862745
,,120,94.11764705882352,96.07843137254902,94.11764705882352
,GAUSS_NO_ROUND,40,100.0,100.0,100.0
,,50,100.0,100.0,100.0
,,60,100.0,100.0,100.0
,,70,98.0392156862745,100.0,100.0
,,80,100.0,100.0,100.0
,,90,100.0,100.0,98.0392156862745
,,100,100.0,98.0392156862745,94.11764705882352
,,110,100.0,96.07843137254902,98.0392156862745
,,120,96.07843137254902,96.07843137254902,94.11764705882352
,SALT,5,100.0,100.0,100.0
,,10,100.0,100.0,100.0
,,15,100.0,100.0,100.0
,,20,100.0,100.0,100.0
,,25,100.0,100.0,100.0
,,30,100.0,100.0,100.0
