File,M,Original_tf1,Original_tf2,Legendre1,LegendreDiscOrth
lenna_color_64,10,0.08095095895163712,0.08338867105484214,0.03654739110438224,0.036560484189200534
lenna_color_64,25,0.03057213076554355,0.05817603782504236,0.012950763497106088,0.012930752132966808
lenna_color_64,50,0.012579112926819468,0.05464108086065574,0.0038047868840229986,0.0036661488797137785
lenna_color_64,100,0.00468753732316697,0.14559004074701934,0.011818963647206075,0.0006600288188615246
lenna_color_64,150,0.02076382011366926,0.37308128844263355,0.6392804678495755,0.0002695177741378964
lenna_color_64,250,0.5756457199507026,0.9276665803896509,0.7684184487705843,0.00010662890228269278
lenna_color_64,350,0.9767728595714341,1.0001282747737594,0.7605717352296524,5.391604064751871e-05
lenna_color_128,10,0.08962116150796642,0.08991811098191661,0.045275323758515104,0.045272640541077463
lenna_color_128,25,0.03916130713858745,0.06531405368484078,0.020063427629424153,0.020065610236330116
lenna_color_128,50,0.019481912356398623,0.054832120464497806,0.009011941280310059,0.008995652183779353
lenna_color_128,100,0.007190033540370749,0.061342341755670014,0.0024609807441671825,0.00237220214240678
lenna_color_128,150,0.003883755592448669,0.08338825998162731,0.0015223497503101826,0.0008298114671856329
lenna_color_128,250,0.008228674264394713,0.21155289593221624,0.6292504574431881,0.00029789489833170855
lenna_color_128,350,0.026954155193031765,0.5252241267045256,0.6722760374723487,0.00012877380745184908
lenna_color_256,10,0.09678627837112296,0.09727085076049324,0.053330247958539155,0.05333165679673728
lenna_color_256,25,0.04661250024840695,0.07265518188005042,0.027669777779863996,0.027670490474325283
lenna_color_256,50,0.026592300753201133,0.061515876212009844,0.01611052889133997,0.016109383851423492
lenna_color_256,100,0.01341443806837893,0.05451558382252059,0.007906436447003708,0.007893209716003893
lenna_color_256,150,0.008687547234759155,0.055951377408693256,0.004634678090042439,0.004595846037228918
lenna_color_256,250,0.004287416027175875,0.07178011434097714,0.0019027827475784644,0.0016370780926940678
lenna_color_256,350,0.0027988342859193945,0.10754530575299848,0.0023853376964506267,0.0006564172693583986
pepper_color_64,10,0.12942594053104906,0.10773328295997406,0.06199084769200945,0.06198826880351416
pepper_color_64,25,0.050324340500577554,0.06561311962265592,0.020931234823459016,0.02087797032107782
pepper_color_64,50,0.018820772951374465,0.0554538462842918,0.005002486083359309,0.004706450594006191
pepper_color_64,100,0.005519630605612567,0.12384697982499983,0.024655212540384785,0.0009601829165183892
pepper_color_64,150,0.021336772559853757,0.35067283165992397,0.648742143999934,0.00040765954138594334
pepper_color_64,250,0.5211492086849451,1.2534465398471066,0.8184080823815196,0.00015360417475487995
pepper_color_64,350,1.1607448824706206,1.451050253385204,0.8137238241685107,7.72133155429059e-05
pepper_color_128,10,0.14259683122651667,0.11850952910116933,0.0750944922011952,0.07509729758262654
pepper_color_128,25,0.06303887099059154,0.07597297183179239,0.03117626439428304,0.031175418406956923
pepper_color_128,50,0.02889976031300575,0.056426024282308626,0.01065936966998026,0.010648920128713523
pepper_color_128,100,0.00894161471139257,0.05954364735797023,0.0023738067994187846,0.002267219123861383
pepper_color_128,150,0.00416306397958315,0.07809292020369188,0.0016168112852287392,0.0007878210722677442
pepper_color_128,250,0.008291318863273084,0.18581233675062037,0.629561123219223,0.00032683870993458473
pepper_color_128,350,0.027643434361405397,0.5430528172509026,0.6951356056715495,0.00013704658306433782
pepper_color_256,10,0.15179146825465692,0.12721606528735238,0.0846554642649953,0.08465634444132239
pepper_color_256,25,0.07251255094414233,0.08441230349601767,0.03987003803646337,0.03986696463387865
pepper_color_256,50,0.03777117424926147,0.06310699731967798,0.01778802386757202,0.017784433077965997
pepper_color_256,100,0.01596784475850318,0.05352261465194564,0.00681745789236039,0.006801467541447767
pepper_color_256,150,0.008858205123313258,0.05423758744795043,0.003497332195034614,0.003459068642050259
pepper_color_256,250,0.0037824723055961125,0.06722348759375925,0.0013123194048234319,0.001103896536394925
pepper_color_256,350,0.0025302241651840823,0.09551455085819022,0.0022940194333005786,0.00048277898283650885
